label,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,n_features,groups
full,0.10959237431899829,0.010316580176066402,0.07352395642999195,0.003032720756405917,0.35931591111972916,0.11491158267598697,348,"wind,pressure,wp_couple,position,spatial,env,land_sea"
leave_out_wind,0.11042071523289392,0.010633961830184958,0.07425506155914904,0.0054682520161205735,0.34742533255458974,0.13122328237014858,340,"pressure,wp_couple,position,spatial,env,land_sea"
leave_out_pressure,0.10951213040630252,0.00945370013400995,0.07372758407624579,0.0035536263518917846,0.36029897393410076,0.10936702551934975,340,"wind,wp_couple,position,spatial,env,land_sea"
leave_out_wp_couple,0.11035446135448759,0.009692473295572752,0.07409104370857682,0.0033339103241602787,0.3502488554555823,0.11267176402511389,347,"wind,pressure,position,spatial,env,land_sea"
leave_out_position,0.1100349774652288,0.008724224178121196,0.07386441502556848,0.0036006861069164857,0.3528749752688463,0.11189118189611709,343,"wind,pressure,wp_couple,spatial,env,land_sea"
leave_out_spatial,0.10995607246791639,0.01085185577014764,0.07380636611563884,0.004000403789015194,0.35238843358651095,0.13199054758816828,328,"wind,pressure,wp_couple,position,env,land_sea"
leave_out_env,0.11513460662255448,0.010512162894518768,0.07733334392681739,0.003619948609124797,0.2930065436334812,0.12589966087610716,48,"wind,pressure,wp_couple,position,spatial,land_sea"
leave_out_land_sea,0.10839194315890702,0.009637091793716905,0.07332643248820195,0.004068089227420776,0.3734382871519675,0.10716412161509833,345,"wind,pressure,wp_couple,position,spatial,env"
only_wind,0.1184032069068995,0.011593582336097669,0.07914234631547959,0.00534387023532184,0.24983700613795437,0.14852602605162266,11,wind
only_pressure,0.12114288617851139,0.01095960047998919,0.08442127773407157,0.006501957564059811,0.21554175663133873,0.15003725618460895,8,pressure
only_wp_couple,0.1166265771304893,0.011866973980621413,0.0790719356387228,0.004364037288362882,0.2718239273200379,0.15301004319479927,1,wp_couple
only_position,0.1406310296077924,0.011084088508195636,0.09897459695347566,0.006401827810283695,-0.04567227472264419,0.10185600054747251,5,position
only_spatial,0.1351624257429255,0.006067825579166955,0.09551916209958117,0.004937801743784394,0.027472860085021457,0.11531692665683532,20,spatial
only_env,0.11617934165427565,0.01086260214340511,0.08075498590546269,0.002571035983730981,0.2800814613892942,0.12947928161860703,303,env
only_land_sea,0.13881942309980888,0.008702888782975192,0.1004904702050698,0.005374535731386815,-0.017016608004537435,0.02407213470897308,3,land_sea
wind_only,0.1184032069068995,0.011593582336097669,0.07914234631547959,0.00534387023532184,0.24983700613795437,0.14852602605162266,11,wind
pressure_only,0.12114288617851139,0.01095960047998919,0.08442127773407157,0.006501957564059811,0.21554175663133873,0.15003725618460895,8,pressure
wind+pressure,0.11774972974691318,0.012066863455029726,0.07882227687717519,0.005012743362382144,0.25746356029810197,0.1551416575018258,20,"wind,pressure,wp_couple"
tabular_only,0.11922083231611243,0.009993085826459275,0.08051642788941916,0.004178731965955486,0.23898427610300535,0.1418525976155938,25,"wind,pressure,wp_couple,position"
spatial_only,0.1351624257429255,0.006067825579166955,0.09551916209958117,0.004937801743784394,0.027472860085021457,0.11531692665683532,20,spatial
tabular+spatial,0.11476768702095178,0.009804412324389597,0.07796001162926425,0.003325649191642011,0.2970637585262178,0.1224843225307056,45,"wind,pressure,wp_couple,position,spatial"
tabular+spatial+env,0.10839194315890702,0.009637091793716905,0.07332643248820195,0.004068089227420776,0.3734382871519675,0.10716412161509833,345,"wind,pressure,wp_couple,position,spatial,env"
no_land_sea,0.10839194315890702,0.009637091793716905,0.07332643248820195,0.004068089227420776,0.3734382871519675,0.10716412161509833,345,"wind,pressure,wp_couple,position,spatial,env"
land_sea_only,0.13881942309980888,0.008702888782975192,0.1004904702050698,0.005374535731386815,-0.017016608004537435,0.02407213470897308,3,land_sea
3d_focus,0.11221924611003915,0.00864089159645947,0.07791410726042176,0.004109222190522853,0.33106246138403306,0.09175323292462895,323,"spatial,env"
3d+wind,0.11027154658491253,0.008264071065321663,0.07350288206404344,0.0024587012704493415,0.35118564569667193,0.10403291346547706,331,"spatial,env,wind"
3d+pressure,0.11092129547265664,0.009529343916029253,0.0771297971224896,0.0040661077518571185,0.34506628022769703,0.10654021263090924,331,"spatial,env,pressure"
3d+tabular,0.11007175245890659,0.009605653901047997,0.07369039062322383,0.004469090595000977,0.35250598348346884,0.11809688593065669,345,"spatial,env,wind,pressure,wp_couple,position"
