group,group_mean_abs_shap
land_sea,2.8971242904663086
env,0.7538391947746277
spatial,0.6026887893676758
pressure,0.38523921370506287
wind,0.3256196081638336
wp_couple,0.12269818037748337
position,0.020055806264281273
